env,geno,ttime,da_sow2,zadok_stage_A,yield_A,yield_d,biomass_LargeError,biomass_MediumError,biomass_NoError,gw_d,g_no_d,maturity,flowering
Emerald_1993,g001,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g002,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g003,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g004,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g005,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g006,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g007,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g008,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g009,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g010,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g011,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g012,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g013,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g014,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g015,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g016,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g017,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g018,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g019,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g020,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g021,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g022,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g023,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g024,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g025,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g026,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g027,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g028,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g029,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g030,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g031,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g032,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g033,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g034,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g035,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g036,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g037,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g038,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g039,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g040,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g041,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g042,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g043,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g044,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g045,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g046,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g047,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g048,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g049,23.5,0,4.995,0,*,0,0,0,*,*,0,0
