lon,lat,sst,type
-51.5607,-38.2629,289.94,train
-55.0255,-49.3163,278.6,train
-48.4228,-35.747,291.51,train
-48.7221,-44.2118,282.78,train
-54.5217,-47.387,282.44,train
-52.9891,-47.1366,281.6,train
-53.3798,-45.505,281.38,train
-56.4759,-44.7711,281.61,train
-50.9364,-43.5084,283,train
-57.7477,-47.8116,279.29,train
-55.075,-47.739,278.51,train
-51.5724,-46.9634,281.42,train
-57.4733,-48.1932,278.54,train
-58.0506,-48.5272,278.77,train
-48.92,-44.672,283.58,train
-56.7485,-49.9842,278.77,train
-55.1835,-48.0662,278.41,train
-53.571,-36.2664,289.66,train
-55.8516,-47.5606,278.58,train
-53.3936,-35.0475,290.22,train
-55.7626,-38.5416,283.16,train
-56.7078,-48.052,279.5,train
-51.3183,-36.4474,291.41,train
-59.6689,-42.6189,282.13,train
-57.1995,-41.742,279.91,train
-59.9795,-40.4759,284.29,train
-56.4705,-43.8901,280.88,train
-53.611,-38.643,291.39,train
-59.9312,-47.0215,278.94,train
-59.5229,-43.4044,280.29,train
-53.5691,-48.7274,278.22,train
-55.6919,-49.1215,278.44,train
-50.6462,-38.0124,288.97,train
-54.7678,-49.8557,278.42,train
-56.979,-46.7593,280.36,train
-55.1274,-45.1224,280.23,train
-49.0179,-37.7036,290.94,train
-58.387,-41.8071,282.04,train
-56.0508,-48.3999,278.82,train
-56.7259,-44.1982,280.19,train
-55.8986,-47.0527,279.3,train
-56.7726,-42.3671,279.7,train
-52.9636,-37.8511,291.16,train
-55.3033,-45.1972,280.82,train
-58.599,-41.0257,281.89,train
-55.6419,-48.1919,278.23,train
-58.2055,-44.0182,280.32,train
-58.4875,-48.3509,279.42,train
-55.6797,-47.5571,278.05,train
-57.5641,-44.8777,281.32,train
-55.0546,-49.8308,277.41,train
-53.1967,-48.5113,280.07,train
-55.6419,-49.258,278.22,train
-54.3756,-48.919,278,train
-49.8288,-46.9205,282.1,train
-59.1276,-49.3993,279.42,train
-57.9509,-44.3505,281.54,train
-52.1362,-42.0831,285.63,train
-57.5656,-42.3166,279.85,train
-50.2542,-45.8336,282.22,train
-56.275,-45.1563,281.22,train
-57.4762,-48.4714,278.5,train
-57.3549,-47.5787,279.35,train
-48.875,-36.6856,289.63,train
-52.4857,-37.9119,291.51,train
-57.9644,-42.6375,279.82,train
-56.4407,-45.1845,281.32,train
-53.676,-49.3896,277.98,train
-59.4272,-42.849,281.25,train
-52.431,-36.187,292.19,train
-54.4003,-49.6816,278.42,train
-52.5303,-36.8171,292.45,train
-49.2847,-46.0648,282.25,train
-54.1459,-48.4963,278.36,train
-57.2752,-46.66,280.07,train
-59.5739,-48.9188,279.1,train
-58.8256,-46.1217,279.19,train
-58.7855,-40.5014,282.69,train
-56.9997,-45.1974,280.39,train
-57.0213,-40.9134,280.91,train
-56.9238,-38.3114,284.85,train
-50.4998,-39.5249,288.22,train
-54.8255,-44.8792,281.08,train
-56.6415,-49.0553,278.72,train
-52.4514,-37.8368,291.25,train
-58.9792,-46.636,278.58,train
