geno,das,biomass
g001,0,0
g001,1,0
g001,2,0
g001,3,0
g001,4,0
g001,5,0
g001,6,4.6
g001,7,6.4
g001,8,8.7
g001,9,11.4
g001,10,14.5
g001,11,18.8
g001,12,23.4
g001,13,27.4
g001,14,31.9
g001,15,36.6
g001,16,42.8
g001,17,47.6
g001,18,54.7
g001,19,61.9
g001,20,65.6
g001,21,74.8
g001,22,88.6
g001,23,103.6
g001,24,123
g001,25,145.6
g001,26,171.8
g001,27,198.5
g001,28,228.8
g001,29,265.3
g001,30,306.6
g001,31,350.5
g001,32,366.8
g001,33,417.8
g001,34,478.1
g001,35,545.4
g001,36,624.3
g001,37,711.6
g001,38,807.5
g001,39,912.3
g001,40,1019.1
g001,41,1133.6
g001,42,1255.3
g001,43,1384.2
g001,44,1519.7
g001,45,1641
g001,46,1732.9
g001,47,1845.4
g001,48,1968.4
g001,49,2065.1
g001,50,2146.6
g001,51,2248.9
g001,52,2327.2
g001,53,2415.2
g001,54,2442.9
g001,55,2472.4
g001,56,2511.8
g001,57,2545.4
g001,58,2670.3
g001,59,2833.5
g001,60,2986.8
g001,61,3139.1
g001,62,3273.7
g001,63,3424.2
g001,64,3500.9
g001,65,3630.4
g001,66,3758.9
g001,67,3799.2
g001,68,3859.8
g001,69,3982.8
g001,70,4087.4
g001,71,4177
g001,72,4259.8
g001,73,4345.2
g001,74,4412.5
g001,75,4481.9
g001,76,4545.2
g001,77,4600.5
g001,78,4649.8
g001,79,4695.2
g001,80,4759.9
g001,81,4822.9
g001,82,4868.9
g001,83,4908.6
g001,84,4943.2
g001,85,4973.8
g001,86,5000.9
g001,87,5025.6
g001,88,5051
g001,89,5074.3
g001,90,5095.4
g001,91,5115.2
g001,92,5133.5
g001,93,5150.1
g001,94,5171
g001,95,5189.5
g001,96,5204.7
g001,97,5218.1
g001,98,5231.8
g001,99,5243.9
g001,100,5253.3
g001,101,5258.8
g001,102,5262.7
g001,103,5265.7
g001,104,5266.8
g001,105,5268.5
g001,106,5269.5
g001,107,5271.5
g001,108,5272.9
g001,109,5273.9
g001,110,5275
g001,111,5279.8
g001,112,5285.1
g001,113,5290.4
g001,114,5294.3
g001,115,5295
g001,116,5295
g001,117,5295
g002,0,0
g002,1,0
g002,2,0
g002,3,0
g002,4,0
g002,5,0
g002,6,4.6
g002,7,6.3
g002,8,8.6
g002,9,11.3
g002,10,14.4
g002,11,18.7
g002,12,23.2
g002,13,27.2
g002,14,31.6
g002,15,36.2
g002,16,42.3
g002,17,47
g002,18,53.9
g002,19,61
g002,20,64.6
g002,21,73.7
g002,22,87.1
