par,row,col,time
16.54,0,0,16212.96
16.47,0,0,16212.966
16.38,0,0,16212.969
16.29,0,0,16212.972
16.21,0,0,16212.975
16.12,0,0,16212.978
16.04,0,0,16212.981
15.95,0,0,16212.984
15.87,0,0,16212.987
15.77,0,0,16212.993
15.73,0,0,16212.996
15.6,0,0,16213.002
15.51,0,0,16213.005
15.47,0,0,16213.008
15.44,0,0,16213.011
15.44,0,0,16213.014
15.39,0,0,16213.02
15.44,0,0,16213.023
15.44,0,0,16213.026
15.47,0,0,16213.029
15.51,0,0,16213.032
15.55,0,0,16213.035
15.64,0,0,16213.041
15.64,0,0,16213.044
15.64,0,0,16213.05
15.68,0,0,16213.053
15.68,0,0,16213.056
15.68,0,0,16213.059
15.68,0,0,16213.062
15.68,0,0,16213.065
15.68,0,0,16213.068
15.73,0,0,16213.071
15.68,0,0,16213.077
15.73,0,0,16213.08
15.73,0,0,16213.083
15.77,0,0,16213.086
15.77,0,0,16213.089
15.81,0,0,16213.092
15.81,0,0,16213.095
15.87,0,0,16213.098
15.87,0,0,16213.104
15.91,0,0,16213.107
15.91,0,0,16213.11
15.91,0,0,16213.113
15.91,0,0,16213.116
15.91,0,0,16213.119
15.91,0,0,16213.122
15.87,0,0,16213.125
15.87,0,0,16213.131
15.87,0,0,16213.134
15.87,0,0,16213.137
15.87,0,0,16213.14
15.87,0,0,16213.143
15.81,0,0,16213.146
15.81,0,0,16213.149
15.81,0,0,16213.152
15.77,0,0,16213.158
15.77,0,0,16213.161
15.77,0,0,16213.164
15.77,0,0,16213.167
15.77,0,0,16213.17
15.87,0,0,16213.173
15.95,0,0,16213.179
16.04,0,0,16213.182
16.12,0,0,16213.188
16.21,0,0,16213.191
16.25,0,0,16213.194
16.34,0,0,16213.197
16.47,0,0,16213.2
16.54,0,0,16213.203
16.63,0,0,16213.206
16.72,0,0,16213.209
16.72,0,0,16213.212
16.85,0,0,16213.215
17.02,0,0,16213.218
17.15,0,0,16213.221
17.32,0,0,16213.224
17.5,0,0,16213.227
17.67,0,0,16213.23
17.84,0,0,16213.233
18.01,0,0,16213.236
18.22,0,0,16213.242
18.35,0,0,16213.245
18.47,0,0,16213.248
18.56,0,0,16213.251
18.65,0,0,16213.254
18.74,0,0,16213.257
18.91,0,0,16213.26
19.04,0,0,16213.263
19.17,0,0,16213.269
19.25,0,0,16213.272
19.38,0,0,16213.275
19.52,0,0,16213.278
19.6,0,0,16213.281
19.68,0,0,16213.284
19.73,0,0,16213.287
19.77,0,0,16213.293
19.81,0,0,16213.296
19.81,0,0,16213.299
19.77,0,0,16213.302
19.98,0,0,16213.305
20.16,0,0,16213.308
20.28,0,0,16213.314
20.58,0,0,16213.317
21.05,0,0,16213.32
21.39,0,0,16213.323
21.69,0,0,16213.326
21.77,0,0,16213.329
21.77,0,0,16213.332
21.69,0,0,16213.335
21.65,0,0,16213.338
21.95,0,0,16213.341
22.2,0,0,16213.347
22.33,0,0,16213.35
22.33,0,0,16213.353
22.3,0,0,16213.356
22.33,0,0,16213.359
22.46,0,0,16213.362
22.55,0,0,16213.368
22.54,0,0,16213.371
22.58,0,0,16213.374
22.2,0,0,16213.377
22.12,0,0,16213.38
22.16,0,0,16213.386
22.2,0,0,16213.389
22.03,0,0,16213.392
21.95,0,0,16213.395
22.25,0,0,16213.401
22.71,0,0,16213.404
23.32,0,0,16213.407
23.91,0,0,16213.413
24.43,0,0,16213.416
24.67,0,0,16213.419
24.84,0,0,16213.422
24.67,0,0,16213.425
24.41,0,0,16213.431
24.41,0,0,16213.434
24.75,0,0,16213.437
25.78,0,0,16213.44
26.22,0,0,16213.443
26.34,0,0,16213.449
26.04,0,0,16213.452
25.84,0,0,16213.455
26.09,0,0,16213.458
26.13,0,0,16213.464
26.09,0,0,16213.467
26.13,0,0,16213.47
26,0,0,16213.473
25.91,0,0,16213.476
25.91,0,0,16213.479
25.99,0,0,16213.482
26.17,0,0,16213.485
26,0,0,16213.488
25.73,0,0,16213.494
26.09,0,0,16213.497
26.3,0,0,16213.5
26.55,0,0,16213.503
26.5,0,0,16213.506
26.34,0,0,16213.509
26.17,0,0,16213.512
25.73,0,0,16213.518
25.47,0,0,16213.521
25.39,0,0,16213.524
25.19,0,0,16213.527
25.06,0,0,16213.53
24.97,0,0,16213.539
25.39,0,0,16213.542
25.65,0,0,16213.548
25.73,0,0,16213.551
25.65,0,0,16213.554
25.52,0,0,16213.557
25.48,0,0,16213.56
25.48,0,0,16213.563
25.69,0,0,16213.566
25.56,0,0,16213.569
25.6,0,0,16213.572
25.27,0,0,16213.578
25.91,0,0,16213.581
26.42,0,0,16213.584
26.76,0,0,16213.59
27.19,0,0,16213.593
27.11,0,0,16213.596
27.23,0,0,16213.599
27.02,0,0,16213.605
26.46,0,0,16213.611
26.39,0,0,16213.614
26.22,0,0,16213.617
25.91,0,0,16213.62
25.68,0,0,16213.623
25.78,0,0,16213.629
25.39,0,0,16213.632
25.52,0,0,16213.635
25.86,0,0,16213.638
26,0,0,16213.644
26.13,0,0,16213.647
26.26,0,0,16213.65
26.3,0,0,16213.653
26.39,0,0,16213.656
26.39,0,0,16213.659
26.22,0,0,16213.665
26.17,0,0,16213.668
26.13,0,0,16213.671
26,0,0,16213.674
25.82,0,0,16213.677
25.6,0,0,16213.68
25.39,0,0,16213.683
25.19,0,0,16213.686
24.97,0,0,16213.692
24.71,0,0,16213.695
24.46,0,0,16213.698
24.21,0,0,16213.701
23.91,0,0,16213.704
23.65,0,0,16213.707
23.39,0,0,16213.71
23.15,0,0,16213.713
22.84,0,0,16213.716
22.38,0,0,16213.725
22.12,0,0,16213.728
21.9,0,0,16213.731
21.69,0,0,16213.734
21.52,0,0,16213.737
21.39,0,0,16213.74
21.27,0,0,16213.743
21.14,0,0,16213.749
21.06,0,0,16213.752
21.01,0,0,16213.755
20.93,0,0,16213.758
20.84,0,0,16213.761
20.76,0,0,16213.764
20.67,0,0,16213.767
20.58,0,0,16213.77
20.5,0,0,16213.773
20.42,0,0,16213.779
20.33,0,0,16213.782
20.07,0,0,16213.788
19.94,0,0,16213.791
19.77,0,0,16213.794
19.57,0,0,16213.797
19.38,0,0,16213.8
19.17,0,0,16213.806
18.95,0,0,16213.809
18.74,0,0,16213.812
18.51,0,0,16213.815
18.31,0,0,16213.818
18.14,0,0,16213.821
17.02,408,754,16212.96
16.95,408,754,16212.963
16.86,408,754,16212.966
16.68,408,754,16212.972
16.59,408,754,16212.978
16.51,408,754,16212.981
16.42,408,754,16212.984
16.34,408,754,16212.987
16.29,408,754,16212.99
16.21,408,754,16212.996
16.12,408,754,16212.999
16.08,408,754,16213.002
15.99,408,754,16213.005
15.95,408,754,16213.008
15.91,408,754,16213.014
15.87,408,754,16213.017
15.87,408,754,16213.02
15.87,408,754,16213.023
15.91,408,754,16213.029
15.95,408,754,16213.038
15.95,408,754,16213.041
15.99,408,754,16213.044
15.99,408,754,16213.047
15.99,408,754,16213.053
16.04,408,754,16213.056
16.04,408,754,16213.059
16.04,408,754,16213.062
16.04,408,754,16213.065
16.04,408,754,16213.071
16.04,408,754,16213.074
16.04,408,754,16213.077
16.08,408,754,16213.08
16.08,408,754,16213.083
16.08,408,754,16213.086
16.12,408,754,16213.092
16.12,408,754,16213.095
16.17,408,754,16213.098
16.21,408,754,16213.104
16.21,408,754,16213.11
16.21,408,754,16213.113
16.21,408,754,16213.116
16.21,408,754,16213.119
16.21,408,754,16213.122
16.21,408,754,16213.128
16.21,408,754,16213.131
16.21,408,754,16213.134
16.17,408,754,16213.137
16.17,408,754,16213.14
16.17,408,754,16213.143
16.17,408,754,16213.149
16.17,408,754,16213.152
16.17,408,754,16213.155
16.12,408,754,16213.158
16.12,408,754,16213.161
16.12,408,754,16213.167
16.12,408,754,16213.17
16.17,408,754,16213.173
16.21,408,754,16213.176
16.25,408,754,16213.179
16.34,408,754,16213.185
16.38,408,754,16213.188
16.47,408,754,16213.191
16.55,408,754,16213.194
16.59,408,754,16213.197
16.73,408,754,16213.203
16.82,408,754,16213.206
16.95,408,754,16213.209
17.07,408,754,16213.212
17.37,408,754,16213.218
17.54,408,754,16213.224
17.72,408,754,16213.227
17.94,408,754,16213.23
18.11,408,754,16213.233
18.32,408,754,16213.236
18.53,408,754,16213.242
18.71,408,754,16213.245
18.84,408,754,16213.248
18.96,408,754,16213.251
19.05,408,754,16213.254
19.18,408,754,16213.26
19.35,408,754,16213.263
19.53,408,754,16213.266
19.62,408,754,16213.269
19.79,408,754,16213.278
19.96,408,754,16213.281
20.01,408,754,16213.284
20.05,408,754,16213.287
20.01,408,754,16213.293
20.05,408,754,16213.296
20.05,408,754,16213.299
20.01,408,754,16213.302
20.21,408,754,16213.305
20.56,408,754,16213.311
20.61,408,754,16213.314
21.29,408,754,16213.317
21.84,408,754,16213.323
22.05,408,754,16213.326
22.27,408,754,16213.329
21.93,408,754,16213.335
21.8,408,754,16213.338
22.23,408,754,16213.341
22.65,408,754,16213.347
22.78,408,754,16213.35
22.82,408,754,16213.353
22.44,408,754,16213.356
22.18,408,754,16213.362
22.27,408,754,16213.365
22.31,408,754,16213.368
22.57,408,754,16213.374
21.97,408,754,16213.377
21.8,408,754,16213.38
21.93,408,754,16213.383
21.93,408,754,16213.386
22.14,408,754,16213.389
21.88,408,754,16213.392
21.71,408,754,16213.395
22.1,408,754,16213.401
22.61,408,754,16213.404
23.64,408,754,16213.41
24.49,408,754,16213.413
25.52,408,754,16213.422
25.52,408,754,16213.425
24.87,408,754,16213.428
24.87,408,754,16213.431
25.52,408,754,16213.437
26.03,408,754,16213.44
26.33,408,754,16213.443
26.63,408,754,16213.449
25.95,408,754,16213.452
25.78,408,754,16213.455
25.48,408,754,16213.461
25.65,408,754,16213.464
25.39,408,754,16213.467
25.09,408,754,16213.473
25.48,408,754,16213.476
25.6,408,754,16213.485
25.52,408,754,16213.488
25.26,408,754,16213.491
25.26,408,754,16213.494
25.65,408,754,16213.497
25.99,408,754,16213.5
26.12,408,754,16213.503
26.03,408,754,16213.506
25.86,408,754,16213.509
25.69,408,754,16213.515
25.48,408,754,16213.518
25.35,408,754,16213.521
24.87,408,754,16213.524
24.7,408,754,16213.527
