rep,row,col,gen,yield
1,1,1,4,483
1,1,2,14,400
1,1,3,79,569
1,1,4,59,734
1,1,5,89,571
1,2,1,10,526
1,2,2,30,405
1,2,3,80,514
1,2,4,60,767
1,2,5,90,726
1,3,1,17,557
1,3,2,15,442
1,3,3,97,487
1,3,4,61,693
1,3,5,86,633
1,4,1,16,564
1,4,2,18,444
1,4,3,102,557
1,4,4,62,790
1,4,5,91,595
1,5,1,21,498
1,5,2,19,557
1,5,3,40,750
1,5,4,63,714
1,5,5,92,684
1,6,1,32,510
1,6,2,20,446
1,6,3,42,710
1,6,4,64,747
1,6,5,93,744
1,7,1,33,344
1,7,2,23,470
1,7,3,43,773
1,7,4,65,815
1,7,5,94,740
1,8,1,34,600
1,8,2,24,515
1,8,3,44,747
1,8,4,66,762
1,8,5,95,705
1,9,1,72,466
1,9,2,25,364
1,9,3,45,683
1,9,4,67,684
1,9,5,96,734
1,10,1,74,370
1,10,2,26,477
1,10,3,46,701
1,10,4,68,827
1,10,5,7,637
1,11,1,75,448
1,11,2,27,377
1,11,3,47,658
1,11,4,69,819
1,11,5,99,837
1,12,1,81,513
1,12,2,28,525
1,12,3,48,682
1,12,4,70,689
1,12,5,100,657
1,13,1,83,481
1,13,2,35,408
1,13,3,49,667
1,13,4,88,758
1,13,5,101,765
1,14,1,106,430
1,14,2,36,605
1,14,3,50,699
1,14,4,103,705
1,14,5,29,689
1,15,1,107,355
1,15,2,37,437
1,15,3,51,585
1,15,4,104,565
1,15,5,104,537
1,16,1,3,445
1,16,2,38,440
1,16,3,52,645
1,16,4,98,799
1,16,5,105,633
1,17,1,5,447
1,17,2,39,446
1,17,3,53,642
1,17,4,2,758
1,17,5,22,629
1,18,1,6,400
1,18,2,71,534
1,18,3,54,630
1,18,4,1,774
1,18,5,31,614
1,19,1,8,460
1,19,2,73,510
1,19,3,55,729
1,19,4,89,652
1,19,5,41,714
1,20,1,9,371
1,20,2,76,603
1,20,3,56,714
1,20,4,87,684
1,20,5,12,684
1,21,1,11,420
1,21,2,77,442
1,21,3,57,651
1,21,4,84,656
1,21,5,82,722
1,22,1,13,453
1,22,2,78,506
1,22,3,58,820
1,22,4,85,792
1,22,5,82,791
2,1,1,104,642
2,1,2,62,665
2,1,3,4,738
2,1,4,74,678
2,1,5,15,536
2,2,1,18,687
2,2,2,92,715
